Program/Agency Name,Project Name,Sub-Project Name,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,total_10years,Ward Number,Ward,Category
Corporate Real Estate Management,Mechanical and Electrical,100 Queen-Wet Sprnklr Control Valves,0,0,0,0,0,0,0,0,0,2304,2304,10,Spadina-Fort York,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,Various SOGR Work on Mech & Elect - Future,0,0,0,5,53,0,0,0,0,60,118,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,850 Coxwell-Replace H.W. Unit Heaters,0,0,0,0,0,0,13,138,0,0,151,14,Toronto-Danforth,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,EMS BAS new systems (29 buildings),0,0,0,0,1750,0,0,0,0,0,1750,CW,City Wide,State of Good Repair C03
Fleet Services,Arena Boards - Replacement of Ice Resurfacers,Arena - Fleet Replacement - 2025,0,420,0,0,0,0,0,0,0,0,420,CW,City Wide,State of Good Repair C03
Fleet Services,Arena Boards - Replacement of Ice Resurfacers,Arena - Fleet Replacement - 2033,0,0,0,0,0,0,0,0,0,210,210,CW,City Wide,State of Good Repair C03
Fleet Services,EDCT - Fleet Replacement,EDCT - Fleet Replacement - 2031,0,0,0,0,0,0,0,186,0,0,186,CW,City Wide,State of Good Repair C03
Fleet Services,EDCT - Fleet Replacement,EDCT - Fleet Replacement - 2032,0,0,0,0,0,0,0,0,74.6,0,74.6,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,850 Coxwell-VAV Terminal Air Units,0,0,0,0,0,0,0,102,810,810,1722,14,Toronto-Danforth,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,"55 John - Supply Fans, Exhaust Fans",0,0,0,0,0,277,3026,0,0,0,3303,10,Spadina-Fort York,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,4330 Dufferin St - Various Projects - Electrical 1,0,0,0,17.5,285.5,0,0,0,0,0,303,6,York Centre,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,55 John -Sprinkler Pump Parking Fans VAV,0,0,0,0,0,0,74,326,667,667,1734,10,Spadina-Fort York,State of Good Repair C03
Corporate Real Estate Management,Structural/Building Envelope,5100 Yonge St-Roofing & Frames,0,0,0,0,0,0,24,444,0,0,468,18,Willowdale,State of Good Repair C03
Corporate Real Estate Management,Sitework,"1135 Caledonia - Roofing, Asphalt, Sidewalks",0,0,0,0,0,0,14,14,0,0,28,8,Eglinton-Lawrence,State of Good Repair C03
Corporate Real Estate Management,Transform TO,Transform TO - ECDM Future Year,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,9000,CW,City Wide,Service Improvement and Enhancement C04
Corporate Real Estate Management,Renovations,146 The East Mall-Various Projects,0,0,0,0,0,0,4,105,0,0,109,3,Etobicoke-Lakeshore,State of Good Repair C03
Corporate Real Estate Management,Renovations,259 Horner-Renovations Mech Sitework,0,0,0,0,0,0,0,19,1.5,1.5,22,3,Etobicoke-Lakeshore,State of Good Repair C03
Corporate Real Estate Management,Renovations,2700 Eglinton - Refinish Public Area Walls,0,0,0,0,0,0,14,314,0,0,328,5,York South-Weston,State of Good Repair C03
Corporate Real Estate Management,Renovations,VarLocs-SOGR Interior Systems 2029,0,0,0,0,300,4546,697,1099,562,251,7455,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Renovations,3061 Birchmount Road-Roof & Various Projects,0,0,0,0,0,0,0,33,2.4,2.4,37.8,22,Scarborough-Agincourt,State of Good Repair C03
Environment & Climate,Renewable Energy Program,New Development Sustainable Energy Plan Financing,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,90000,CW,City Wide,Service Improvement and Enhancement C04
Corporate Real Estate Management,Re-roofing,3325 Warden Ave-Replace Roofing Systems,0,0,0,0,0,0,0,137,7.45,7.45,151.89999999999998,22,Scarborough-Agincourt,State of Good Repair C03
Technology Services,Corporate Initiatives,Enterprise Work Mgmt Solution (EWMS) Phases 2&3,5208,4965,3076,4105,0,0,0,0,0,0,17354,CW,City Wide,Service Improvement and Enhancement C04
Technology Services,Data Centralization,Modernized Data Center Architecture,-1771,-3752,0,0,0,0,0,0,0,0,-5523,CW,City Wide,Service Improvement and Enhancement C04
Technology Services,Digital Modernization,Project Portfolio Mgmt System Migrate to SerNow,118,0,0,0,0,0,0,0,0,0,118,CW,City Wide,State of Good Repair C03
Technology Services,Risk Management,Access Control Self Serve,339,0,0,0,0,0,0,0,0,0,339,CW,City Wide,Service Improvement and Enhancement C04
Customer Experience,311 TECHNOLOGY SOLUTION STATE OF GOOD REPAIR,SOGR - Various,-560,560,0,0,0,0,0,0,0,0,0,CW,City Wide,State of Good Repair C03
Environment & Climate,Renewable Energy Program,New Development Sustainable Energy Plan Financing,15000,0,0,0,0,0,0,0,0,0,15000,CW,City Wide,Service Improvement and Enhancement C04
Environment & Climate,Sustainable Energy Plan - Various,CarbonCheck,400,0,0,0,0,0,0,0,0,0,400,CW,City Wide,Service Improvement and Enhancement C04
Office of the Chief Information Security Officer,Corporate Planning & Management,Cyber Command Centre,8777,8777,0,0,0,0,0,0,0,0,17554,CW,City Wide,Service Improvement and Enhancement C04
Office of the Chief Information Security Officer,Corporate Planning & Management,Digitization Support Services,1095,253,1014,849,805,0,0,0,0,0,4016,CW,City Wide,Service Improvement and Enhancement C04
Fleet Services,Library - Fleet Replacement,TPL - Fleet Replacement - 2023,163.1,0,0,0,0,0,0,0,0,0,163.1,CW,City Wide,State of Good Repair C03
Technology Services,Technology Modernization,Fleet/Fire/EMS Joint Fit Gap Analysis&Market Scan,55,163,165,0,0,0,0,0,0,0,383,CW,City Wide,State of Good Repair C03
Technology Services,Technology Modernization,Automating Short Term Rental Operator Verification,279,275,57,0,0,0,0,0,0,0,611,CW,City Wide,Legislated C02
Technology Services,Enterprise Capabilities,SAP ERP Modernization,340,1777,5728,4691,1409,0,0,0,0,0,13945,CW,City Wide,State of Good Repair C03
Technology Services,Foundational Technologies,File Services Migration to SharePoint,445,1121,501,0,0,0,0,0,0,0,2067,CW,City Wide,State of Good Repair C03
Technology Services,Microsoft Access Application,Modernization of Microsoft Access Application - P,538,-482,0,0,0,0,0,0,0,0,56,CW,City Wide,State of Good Repair C03
Technology Services,Application Systems,Open Data Master Plan Impl Scope Chg,780,579,0,0,0,0,0,0,0,0,1359,CW,City Wide,Service Improvement and Enhancement C04
Technology Services,Application Systems,Open Data Master Plan Impl Scope Chg,-126,-1,0,0,0,0,0,0,0,0,-127,CW,City Wide,Service Improvement and Enhancement C04
Technology Services,Corporate Initiatives,Salesforce Realignment of Foundational Technologi,775,0,0,0,0,0,0,0,0,0,775,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Property Acquisitions,School Lands Properties Acquisition,0,2500,0,250,0,2250,0,0,0,0,5000,CW,City Wide,Growth Related C05
Corporate Real Estate Management,Security,CCTV Infrast Enhancem - Counter Measures,375,937.5,937.5,750,750,750,750,750,750,750,7500,CW,City Wide,Service Improvement and Enhancement C04
Fleet Services,Engineering & Construction Serv Fleet Replacement,ECS - Fleet Replacement - 2023,304.8,0,0,0,0,0,0,0,0,0,304.8,CW,City Wide,State of Good Repair C03
Fleet Services,Facilities Mgmt & Real Estate - Fleet Replacement,FA - Fleet Replacement - 2023,160.4,0,0,0,0,0,0,0,0,0,160.4,CW,City Wide,State of Good Repair C03
Fleet Services,Fire-Fleet Replacement,Fire - Fleet Replacement - 2025 (S3),0,0,-355,-197,0,0,0,0,0,0,-552,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,USR - Professional Services,Union Station Enhancement Project (USEP) Pkg 1,-276,0,0,0,0,0,0,0,0,0,-276,10,Spadina-Fort York,Service Improvement and Enhancement C04
Corporate Real Estate Management,Real Estate Services,SOGR LEASED FACILITIES/PROPERTIES 2022,200,0,0,0,0,0,0,0,0,0,200,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Real Estate Services,Future use of Old City Hall - Final Design & Tende,-279,279,0,0,0,0,0,0,0,0,0,13,Toronto Centre,Service Improvement and Enhancement C04
Corporate Real Estate Management,Real Estate Services,Security bollards Union Stn Traffic By-Law signage,0,2000,0,0,0,0,0,0,0,0,2000,10,Spadina-Fort York,State of Good Repair C03
Corporate Real Estate Management,Real Estate Services,Strategic Projects - Feasibility 2024,750,0,0,0,0,0,0,0,0,0,750,CW,City Wide,Service Improvement and Enhancement C04
Corporate Real Estate Management,Renovations,VarLocs-SOGR Interior Systems 2022,3,0,0,0,0,0,0,0,0,0,3,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Renovations,VarLocs-SOGR Interior Systems 2022,504,0,0,0,0,0,0,0,0,0,504,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Renovations,VarLocs-SOGR Interior Systems 2024,3750,1250,0,0,0,0,0,0,0,0,5000,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Office Modernization Program,Modern TO - Workplace Modernization,-39889.39,-19361.8,40604.06,18647.43,0,0,0,0,0,0,0.2999999999956344,CW,City Wide,Service Improvement and Enhancement C04
Corporate Real Estate Management,Property Acquisitions,2740 Lawrence Ave East -Land Acquisition,-95.54,0,0,0,0,0,0,0,0,0,-95.54,21,Scarborough Centre,Growth Related C05
Corporate Real Estate Management,Barrier Free/Equity,AODA INITIATIVE - PHASE 1 .2016,-5959,-2000,-2000,0,0,0,0,0,0,0,-9959,CW,City Wide,Legislated C02
Corporate Real Estate Management,Barrier Free/Equity,Var Locs-AODA-Phase 2,13548,12799,6001,8000,0,0,0,0,0,0,40348,CW,City Wide,Legislated C02
Corporate Real Estate Management,Structural/Building Envelope,VarLocs-SOGR Work Building Envelope 2022,-577,2000,500,0,0,0,0,0,0,0,1923,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Structural/Building Envelope,1050 Ellesmere Building - Facility Construction,3250,500,-500,0,0,0,0,0,0,0,3250,21,Scarborough Centre,State of Good Repair C03
Corporate Real Estate Management,Structural/Building Envelope,Var Locs-Civic Projects 2024,2000,500,0,0,0,0,0,0,0,0,2500,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Structural/Building Envelope,71 Front W-Union Station-Var SOGR 2021,0,1900,0,0,0,0,0,0,0,0,1900,10,Spadina-Fort York,State of Good Repair C03
Corporate Real Estate Management,Structural/Building Envelope,Union Station-Various SOGR Work 2018,1147,28,28,61,63,1120,560,112,162,0,3281,10,Spadina-Fort York,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,FM Elevator Program 2021,1700,0,0,500,0,0,0,0,0,0,2200,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,100 Queen W-Installation of Aut. Fire Sprinkle Sys,0,100,200,-1000,700,0,0,0,0,0,0,10,Spadina-Fort York,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,Var Locs - BAS & Component Renewals 2022,1500,1000,1000,0,0,0,0,0,0,0,3500,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,VarLocs-SOGR Mech & Elect 2021,533,276,0,0,0,0,0,0,0,0,809,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,FM Elevator Program 2021,-471,1000,600,0,0,0,0,0,0,0,1129,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,VarLocs-SOGR Mech&Elect Sys 2024,593,2325,667,215,150,0,0,0,0,0,3950,CW,City Wide,State of Good Repair C03
City Clerk's Office,City Clerk's Office Business Systems,City Clerk's Business Systems 2024-2026,210,295,345,0,0,0,0,0,0,0,850,CW,City Wide,Legislated C02
City Clerk's Office,Toronto Election Management Info System (TEMIS),2026 Election Technology Program,-285,-325,-325,-240,0,0,0,0,0,0,-1175,CW,City Wide,Legislated C02
City Clerk's Office,Wedding Chambers SOGR,Wedding Chambers Renovation SOGR 2024-2025,100,200,0,0,0,0,0,0,0,0,300,CW,City Wide,State of Good Repair C03
City Clerk's Office,Council Transition Requirements,Council Transition Requirements 2026-2027,0,0,100,200,0,0,0,0,0,0,300,CW,City Wide,Legislated C02
City Clerk's Office,Archives Strategic Plan Implementation SOGR,Archives Equipment Upgrade - SOGR 2027-2030,0,0,0,75,50,75,50,50,0,100,400,CW,City Wide,State of Good Repair C03
Toronto Public Library,Service and Digital Modernization,Service and Digital Modernization,72,1018,1044,0,0,0,0,0,0,0,2134,CW,City Wide,Service Improvement and Enhancement C04
Toronto Public Library,Pleasant View Library Renovation & Expansion,Pleasant View Construction,1992,1997,0,0,0,0,0,0,0,0,3989,17,Don Valley North,Growth Related C05
Toronto Public Library,Centennial Renovation & Expansion,Centennial  - Construction (Growth) Scope Change,0,0,287,287,0,0,0,0,0,0,574,6,York Centre,Growth Related C05
Toronto Public Library,Multi-Branch Renovation,Multi-Branch Renovation SOGR  scope change,25,639,844,0,0,0,0,0,0,0,1508,CW,City Wide,State of Good Repair C03
Toronto Public Library,St. Lawrence Relocation & Expansion,St. Lawrence Relocation & Expansion - Design (S4),80,877,744,0,0,0,0,0,0,0,1701,13,Toronto Centre,Growth Related C05
Toronto Public Library,MB Renovation Pgm Accessibility Retrofit,MB Accessibility Retrofit,45,99,1260,0,0,0,0,0,0,0,1404,CW,City Wide,Legislated C02
Exhibition Place,ENERCARE CENTRE (formerly DEC),Roof Sectional Replacement over Heritage Court,1200,0,0,0,0,0,0,0,0,0,1200,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,M/E & COMMUNICATION INFRASTRUCTURE,Emergency Generators Upgrade at Various Buildings,1100,550,0,0,0,0,0,0,0,0,1650,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,COLISEUM COMPLEX,Flag Pole Installation,250,0,0,0,0,0,0,0,0,0,250,10,Spadina-Fort York,Service Improvement and Enhancement C04
Toronto Police Service,Property and Evidence Racking,Racking 2024-2033,50,950,0,0,0,0,0,0,0,0,1000,CW,City Wide,Service Improvement and Enhancement C04
Toronto Police Service,Comm Center Furniture Replacement,Comm Center Furniture Replacement - Design,300,0,0,0,0,0,0,0,0,0,300,CW,City Wide,State of Good Repair C03
Toronto Police Service,Wellness,Wellness 2024-2033,300,0,0,0,0,0,0,0,0,0,300,CW,City Wide,Health and Safety C01
Toronto Zoo,Welcome Area Redesign,Welcome Area - Construction,1000,0,0,0,0,0,0,0,0,0,1000,25,Scarborough-Rouge Park,State of Good Repair C03
TO Live,St Lawrence Centre for the Arts - Accessibility,STLC - Accessibility Projects (Future),8412,4680,0,0,500,0,0,0,0,0,13592,13,Toronto Centre,Legislated C02
TO Live,Meridian Arts Centre - SOGR,MAC - Rigging Replacement (Recital Hall),700,0,0,0,0,0,0,0,0,0,700,18,Willowdale,Health and Safety C01
Exhibition Place,"PARKS, PARKING LOTS AND ROADS",Upgrade of Landscaping South of Enercare Centre,0,100,100,300,300,300,0,0,0,0,1100,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,"PARKS, PARKING LOTS AND ROADS",Replace Existing Bollards & Install New as Require,0,0,100,0,100,0,0,0,0,0,200,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,"PARKS, PARKING LOTS AND ROADS","Sidewalks, Parking lots and Roads -AODA",300,800,300,1000,500,200,200,200,200,900,4600,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,NATIONAL SOCCER STADIUM (BMO FIELD),BMO Field Upgrades for FIFA -Feds/Prov,0,12175.82,11882.38,164.84,0,0,0,0,0,0,24223.039999999997,CW,City Wide,Service Improvement and Enhancement C04
Exhibition Place,OTHER BUILDINGS,Princes' Gates Masonry Repointing & Flashing,250,0,50,400,0,0,0,0,0,0,700,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,OTHER BUILDINGS,Digital Video Wall,200,0,0,0,0,0,0,0,0,2800,3000,10,Spadina-Fort York,Service Improvement and Enhancement C04
Exhibition Place,BETTER LIVING CENTRE,West Steel Roll-up Door Upgrade,0,0,0,0,100,450,0,0,0,0,550,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,BETTER LIVING CENTRE,Emergency Generator,0,0,0,0,0,0,0,0,0,300,300,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,COLISEUM COMPLEX,Masonry Restoration (Industry Bldg),0,195,0,0,0,0,0,0,0,0,195,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,COLISEUM COMPLEX,Demolition of Restaurant & Kitchen (East Annex),0,0,0,0,0,0,0,0,235,500,735,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,COLISEUM COMPLEX,Clerestory Window Replacement (Industry Bld),0,0,0,640,400,300,0,0,0,0,1340,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,M/E & COMMUNICATION INFRASTRUCTURE,Replace Fibre Optic Cable Grounds Wide,200,200,200,200,200,100,100,100,100,100,1500,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,FOOD BUILDING,Replace Overhead Doors,0,90,0,0,0,200,0,0,0,0,290,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,HORSE PALACE,Radiant Heat Plant Replacement,0,0,350,0,250,0,0,0,0,0,600,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,GENERAL SERVICES BUILDING,Metal Drip Edges at Stone Wall Sills Removal,0,0,50,0,0,0,0,0,0,0,50,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,GENERAL SERVICES BUILDING,Emergency Generator,0,0,0,0,0,0,0,0,0,300,300,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,ENERCARE CENTRE (formerly DEC),Replace Sections of Terrazzo Floor in Galleria,0,0,0,0,0,0,0,0,0,250,250,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,ENERCARE CENTRE (formerly DEC),"Replace Humidifier, Heaters & AC Units",0,0,0,0,0,0,0,0,0,495,495,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,ENERCARE CENTRE (formerly DEC),Retrofit Salons,0,250,100,0,0,0,0,0,0,0,350,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,ENERCARE CENTRE (formerly DEC),Roof Sectional Replacement over Galleria & S End,0,0,0,0,0,0,100,550,550,0,1200,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,ENERCARE CENTRE (formerly DEC),Replacement of Standing Seam & Snow Control,0,100,0,500,0,0,0,0,0,0,600,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,ENERCARE CENTRE (formerly DEC),Floor Ports Rebuilding,0,200,200,0,0,0,0,0,0,390,790,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,ENERCARE CENTRE (formerly DEC),Acoustic Wall Replacement in Meeting Rooms,0,200,200,200,0,0,0,0,0,0,600,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,ENERCARE CENTRE (formerly DEC),Replace AHU - Hall 'B' in Phases,0,0,500,500,0,250,250,0,0,0,1500,10,Spadina-Fort York,State of Good Repair C03
TO Live,Meridian Arts Centre - SOGR,MAC - Building Condition Assessment (Future),0,0,90,0,0,0,0,0,0,0,90,18,Willowdale,State of Good Repair C03
TO Live,Meridian Arts Centre - SOGR,MAC - Performance Rigging Replacement (Lyric),46,214,200,0,0,0,0,0,0,0,460,18,Willowdale,State of Good Repair C03
